step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,401,1,0.07708702780943895,0.0,0.0,0.05242889313171168,0.0,0.0,,,,,,
2,626,2,0.10727285913580999,0.0,0.0,,,,,,,,,
3,907,3,0.09545306556216382,0.0,0.0,,,,,,,,,
4,1020,4,0.17765998785983808,0.0,0.0,,,,,,,,,
5,1149,5,0.13901113903582654,0.0,0.0,,,,,,,,,
6,1758,6,0.04751675059850844,0.0,0.0,,,,,,,,,
7,2263,7,0.03676245284526481,0.0,0.0,,,,,,,,,
8,2528,8,0.0658922522656631,0.0,0.0,,,,,,,,,
9,2673,9,0.10810437400580666,0.0,0.0,0.045480425536133275,1.0,1.0,,,,,,
10,2922,10,0.06670483141188484,0.0,0.0,,,,,,,,,
11,3243,11,0.0356256172193971,1.0,1.0,,,,,,,,,
12,3604,12,0.04861129102123394,0.0,0.0,,,,,,,,,
13,4213,13,0.0356974733876,1.0,1.0,,,,,,,,,
14,4510,14,0.04058580528434627,1.0,1.0,,,,,,,,,
15,5415,15,0.026120860025164852,1.0,1.0,,,,,,,,,
16,5904,16,0.03363174565821506,0.0,0.0,,,,,,,,,
17,6225,17,0.03380612944015229,1.0,1.0,0.0365126968447512,1.0,1.0,,,,,,
18,6498,18,0.03373448238672127,1.0,1.0,,,,,,,,,
19,7091,19,0.036790494806038035,1.0,1.0,,,,,,,,,
20,7692,20,0.038904417299681034,0.0,0.0,,,,,,,,,
21,8661,21,0.028534351700591213,1.0,1.0,,,,,,,,,
22,9086,22,0.03295099600655343,1.0,1.0,,,,,,,,,
23,9431,23,0.029560573928868315,1.0,1.0,,,,,,,,,
24,9664,24,0.038611444474352476,0.0,0.0,,,,,,,,,
25,9913,25,0.038053750693238866,1.0,1.0,0.032020585335158815,0.0,0.0,,,,,,
26,10226,26,0.033048957934370266,1.0,1.0,,,,,,,,,
27,10875,27,0.03213742712501316,1.0,1.0,,,,,,,,,
28,11020,28,0.03486513639562569,1.0,1.0,,,,,,,,,
29,11285,29,0.026728231493854598,1.0,1.0,,,,,,,,,
30,11646,30,0.03283706862086547,1.0,1.0,,,,,,,,,
31,12047,31,0.030554211815810417,1.0,1.0,,,,,,,,,
32,12312,32,0.060269085641211306,0.0,0.0,,,,,,,,,
33,12417,33,0.10300355619172619,0.0,0.0,0.04595679186115831,1.0,1.0,,,,,,
34,12746,34,0.04176162695142521,0.0,0.0,,,,,,,,,
35,13459,35,0.03303747794523879,0.0,0.0,,,,,,,,,
36,13956,36,0.029195955917035582,1.0,1.0,,,,,,,,,
37,14357,37,0.032305990023176856,1.0,1.0,,,,,,,,,
38,14454,38,0.04687860933511426,1.0,1.0,,,,,,,,,
39,14727,39,0.031201136743967413,1.0,1.0,,,,,,,,,
40,15024,40,0.03267944063565714,0.0,0.0,,,,,,,,,
41,15209,41,0.040914818352272134,1.0,1.0,0.0316629269432685,1.0,1.0,,,,,,
42,15570,42,0.030529534324195192,1.0,1.0,,,,,,,,,
43,15771,43,0.03110186332939484,1.0,1.0,,,,,,,,,
44,16132,44,0.03161418736987738,1.0,1.0,,,,,,,,,
45,16485,45,0.020707031202483784,1.0,1.0,,,,,,,,,
46,16654,46,0.036957046862492765,1.0,1.0,,,,,,,,,
47,16847,47,0.029258645193065903,1.0,1.0,,,,,,,,,
48,17352,48,0.02549247272487033,1.0,1.0,,,,,,,,,
49,17841,49,0.03235596044052876,1.0,1.0,0.03987759281268532,0.0,0.0,,,,,,
50,18234,50,0.03292931553410774,1.0,1.0,,,,,,,,,
51,19131,51,0.03374874383347105,1.0,1.0,,,,,,,,,
52,19684,52,0.026229859432522956,1.0,1.0,,,,,,,,,
53,19853,53,0.029248323378629898,1.0,1.0,,,,,,,,,
54,20542,54,0.0340900539326478,1.0,1.0,,,,,,,,,
55,20711,55,0.04011747673125466,1.0,1.0,,,,,,,,,
56,20856,56,0.034098607083594995,1.0,1.0,,,,,,,,,
57,21049,57,0.04016302457659776,0.0,0.0,0.03312319722919739,1.0,1.0,,,,,,
58,21354,58,0.03234859124389961,1.0,1.0,,,,,,,,,
59,22259,59,0.025517053107000517,1.0,1.0,,,,,,,,,
60,22524,60,0.025432405367284902,1.0,1.0,,,,,,,,,
61,22789,61,0.03228543975403502,0.0,0.0,,,,,,,,,
62,22926,62,0.03089465200099178,1.0,1.0,,,,,,,,,
63,23479,63,0.03211606376989685,1.0,1.0,,,,,,,,,
64,24176,64,0.026195465782265868,1.0,1.0,,,,,,,,,
65,25337,65,0.028539379413348043,0.0,0.0,0.03044862602979918,1.0,1.0,,,,,,
66,25914,66,0.030325992204971043,1.0,1.0,,,,,,,,,
67,26579,67,0.033878093312006245,1.0,1.0,,,,,,,,,
68,27052,68,0.02830323441561709,1.0,1.0,,,,,,,,,
69,27501,69,0.02852001230976709,1.0,1.0,,,,,,,,,
70,27686,70,0.03370244649992895,1.0,1.0,,,,,,,,,
71,27815,71,0.03257814745914857,1.0,1.0,,,,,,,,,
72,28400,72,0.03225678061775354,0.0,0.0,,,,,,,,,
73,29041,73,0.029415968012302618,1.0,1.0,0.030808011875743262,1.0,1.0,,,,,,
74,29802,74,0.024940358476193546,1.0,1.0,,,,,,,,,
75,30467,75,0.02741171655312516,1.0,1.0,,,,,,,,,
76,30852,76,0.03055491906022894,1.0,1.0,,,,,,,,,
77,31317,77,0.03317931774374615,1.0,1.0,,,,,,,,,
78,31654,78,0.026297733328118134,1.0,1.0,,,,,,,,,
79,32143,79,0.03761906558767,0.0,0.0,,,,,,,,,
80,32632,80,0.03421185935939335,1.0,1.0,,,,,,,,,
81,32881,81,0.019409088718648857,1.0,1.0,0.03356958053778913,1.0,1.0,,,,,,
82,33234,82,0.03087269379581911,1.0,1.0,,,,,,,,,
83,33843,83,0.03891701793490698,0.0,0.0,,,,,,,,,
84,34492,84,0.02951687338523939,1.0,1.0,,,,,,,,,
85,34781,85,0.03663457585910944,1.0,1.0,,,,,,,,,
86,34942,86,0.03631157242312565,1.0,1.0,,,,,,,,,
87,35055,87,0.03956547242920351,0.0,0.0,,,,,,,,,
88,35608,88,0.03211263254353598,0.0,0.0,,,,,,,,,
89,35801,89,0.03127993467371197,0.0,0.0,0.04513503154992941,0.0,0.0,,,,,,
90,36146,90,0.030709102488287694,1.0,1.0,,,,,,,,,
91,36619,91,0.03291414634351618,1.0,1.0,,,,,,,,,
92,36844,92,0.030475747945851023,1.0,1.0,,,,,,,,,
93,37317,93,0.03093546847050028,1.0,1.0,,,,,,,,,
